Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
La2(Zr7/10Ce3/10)2O7,,1.516,,,,10.9056,8.99,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2Zr2O7,,1.519,,,,10.6392,3.49,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2(Zr9/10Ce1/10)2O7,,1.488,,,,10.6632,7.05,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2(Zr7/10Ce3/10)2O7,,1.429,,,,10.7464,9.6,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2(Zr1/2Ce1/2)2O7,,1.375,,,,5.3976,10.06,,,,,,,,F,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/3Nd1/3Gd1/3)2Zr2O7,,1.538,,,,10.6832,3.95,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/3Nd1/3Gd1/3)2(Zr7/10Ce3/10)2O7,,1.447,,,,10.7456,9.8,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
La2Ce2O7,,1.333,,,,5.5728,0,,,,,,,,F,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/3Nd1/3Gd1/3)2Ce2O7,,1.273,,,,5.5,3.95,,,,,,,,F,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2Ce2O7,,1.257,,,,5.4792,3.49,,,,,,,,F,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/3Gd1/3Yb1/3)2Zr2O7,,1.481,,,,10.6624,6.76,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/4Nd1/4Gd1/4Yb1/4)2Zr2O7,,1.495,,,,10.6192,6.05,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Gd1/5Yb1/5)2Zr2O7,,1.496,,,,10.5968,5.4,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/6Nd1/6Sm1/6Eu1/6Gd1/6Yb1/6)2Zr2O7,,1.494,,,,10.5864,5,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La3/20Nd3/20Sm3/20Eu3/20Gd3/20Yb1/4)2Zr2O7,,1.481,,,,10.5832,5.38,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Dy1/5Y1/5Yb1/5Sc1/5)2Zr2O7,,1.406,,,,10.4664,9.17,,,,,,,,F+P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2Hf2O7,,1.54,,,,10.6352,3.49,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.625,,,2.4,,6.554,99,,,P,RFS,,,12.3*,320.6*,2.8 ± 0.2,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.052  ,Ultrafast densification of high-entropy oxide (La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7 by reactive flash sintering ,2020,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.625,,,5.2,,6.554,97,,,P,CSS,,,11.7*,225.8*,1.1 ± 0.1,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2022.04.046  ,"Preparation and effect of grain size on the thermal stability, phase transition, mechanical property, and photocatalytic property of pyrochlore (La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7 high-entropy oxide ",2022,,,,
(La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7,,,,,,10.54(7),,,,,,,,,P,,276,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2022.04.046  ,"Preparation and effect of grain size on the thermal stability, phase transition, mechanical property, and photocatalytic property of pyrochlore (La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7 high-entropy oxide ",2022,,,,
(La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7,,,,,,10.60(5),,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2022.04.046  ,"Preparation and effect of grain size on the thermal stability, phase transition, mechanical property, and photocatalytic property of pyrochlore (La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7 high-entropy oxide ",2022,,,,
(La0.2Nd0.2Sm0.2Gd0.2Y0.2)2Zr2O7,,,,1.4742,,,,,,,,,,,P,,244,,,,,,,,,,,,,,10.1016/j.matdes.2021.110059 ,"Glass-like thermal conductivity in mass-disordered high-entropy (Y, Yb)2(Ti, Zr, Hf)2O7 for thermal barrier material ",2021,,,,
(Y1/2Yb1/2)2(Ti1/3Zr1/3Hf1/3)2O7,,,,,,,,,,,7.32,,,,DF,,,,12.68 ± 1.4,218.2 ± 3.64,2.01 ± 0.4,0.0*,10.08,1.27,0.33*,0.55*,,,,,10.1016/j.matdes.2021.110059 ,"Glass-like thermal conductivity in mass-disordered high-entropy (Y, Yb)2(Ti, Zr, Hf)2O7 for thermal barrier material ",2021,,,,
La2Zr2O7,,,,,,,,,,,6.05,,,,P,,,,9.17 ± 0.3,187.4 ± 3.1,1.05 ± 0.1,0.000007*,8.42,3.18*,0.46*,1.15*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.engappai.2026.114993  ,Active learning driven materials discovery for low thermal conductivity rare-earth pyrochlore for thermal barrier coatings ,2026,,,,
(La0.29Nd0.36Gd0.36)2Zr2O7,,1.1036,,,,,,1.3,,6.359 ± 0.01,,,,,P,,,,,,,,,2.03 ± 0.003,,0.836 ± 0.002,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.engappai.2026.114993  ,Active learning driven materials discovery for low thermal conductivity rare-earth pyrochlore for thermal barrier coatings ,2026,,,,
(La0.333Nd0.26Gd0.15Ho0.15Yb0.111)2Zr2O7,,1.0937,,,,,,1.09,,6.489 ± 0.002,,,,,P,,,,,,,,,1.903 ± 0.005,,0.729 ± 0.051,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.engappai.2026.114993  ,Active learning driven materials discovery for low thermal conductivity rare-earth pyrochlore for thermal barrier coatings ,2026,,,,
(La0.43Nd0.05Gd0.05Dy0.09Yb0.38)2Zr2O7,,1.0731,,,,,,,,6.548#,,,,,F+P,,,,,,,,,2.029,,0.533#,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.engappai.2026.114993  ,Active learning driven materials discovery for low thermal conductivity rare-earth pyrochlore for thermal barrier coatings ,2026,,,,
(La0.45Nd0.05Ho0.05Dy0.1Yb0.35)2Zr2O7,,1.07565,,,,,,,,6.617#,,,,,F+P,,,,,,,,,2.029,,.5855#,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.015  ,Response of structure and mechanical properties of high entropy pyrochlore to heavy ion irradiation ,2022,,,,
Nd2Zr2O7,,,,1.54,,10.72,,97.5,4.41 ± 0.19,6.487,,,,,SP,,,,,149*,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.015  ,Response of structure and mechanical properties of high entropy pyrochlore to heavy ion irradiation ,2022,,,,
(La0.2Ce0.2Nd0.2Sm0.2Gd0.2)2Zr2O7,,,,1.54,,10.64,,95.8,2.63 ± 0.16,6.457,,,,,P,,,,,169*,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.triboint.2025.111582  ,"Synthesis, thermophysical properties and tribological behavior of (La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7 high-entropy ceramics ",2025,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,0.1093,,1.52,,10.69,3.5,3.524,4.4,6.406,6.64,,,,P,,,,12.7 ± 0.8,,,0.000011,11.5,1.8,0.41,0.77,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
(Nd1/3Sm1/3Gd1/3)2Zr2O7,,,,1.5,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
(La1/3Nd1/3Gd1/3)2Zr2O7,,,,1.54,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
(La0.2Nd0.2Sm0.2Gd0.2Er0.2)2Zr2O7,,,,1.5,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Gd2(Ti1/3Sn1/3Zr1/3)2O7,,,,1.56,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Gd2(Ti0.2Zr0.2Sn0.2Hf0.2Ta0.2)2O7,,,,1.54,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Gd2(Ti0.2Zr0.2Sn0.2Hf0.2Nb0.2)2O7,,,,1.54,,,,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Sm2Zr2O7,,,,1.54,,,,,,,,,,,SP,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Gd2Sn2O7,,,,1.52,,,,,,,,,,,SP,,,,,,,,,,,,,,,,10.1016/j.jmst.2024.02.002 ,Different mechanisms of A-site and B-site high entropy effect on radiation tolerance of pyrochlores ,2024,,,,
Yb2Zr2O7,,,,,,5.166,,,,7.56,7.71,,,,SP,,,,12.58 ± 0.5,,,,10.06,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.047,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
(Dy0.2Y0.2Ho0.2Er0.2Yb0.2)2Zr2O7,,,,,,5.201,,,,6.99,7.04,99.3,,,P,,,,11.9*,,,,10.39,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.048,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
(La0.2Nd0.2Y0.2Er0.2Yb0.2)2Zr2O7,,,,,,10.646,,,,6.53,,,,,F+P,,,,11.47 ± 0.41,,,,10.45,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.049,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
(La0.2Nd0.2Sm0.2Gd0.2Yb0.2)2Zr2O7,,,,,,10.595,,,,6.57,,,,,F+P,,,,10.96 ± 0.26,,,,11.02,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.050,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.629,,,,6.3,6.54,96.3,,,P,,,,10.75 ± 0.88,,,,10.9*,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.051,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
La2Zr2O7,,,,,,10.791,,,,6,6.05,99.2,,,SP,,,,9.21 ± 0.62,,,,9.05,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.11.052,Dual-phase rare-earth-zirconate high-entropy ceramics with glass-like thermal conductivity ,2020,,,,
La2Zr2O7,,,,,0.3323,10.808,,,3.46 ± 1.29,5.843,6.021,97.04,,,SP,,,,9.66,199,1.38,0.00000891,,2.40*,0.31*,1.27*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.12.080  ,Single-phase rare-earth high-entropy zirconates with superior thermal and mechanical properties ,2021,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,0.3332,10.643,,,1.82 ± 0.66,6.498,6.518,99.69,,,P,,,,13.5,197.51,1.31,0.00001,,2.17*,0.38*,0.87*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.12.080  ,Single-phase rare-earth high-entropy zirconates with superior thermal and mechanical properties ,2021,,,,
(Yb0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,0.3559,10.537,,,1.07 ± 0.43,6.579,6.871,95.75,,,P,,,,9.63,171.55,1.8,0.00001052,,1.80*,0.38*,0.68*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.12.080  ,Single-phase rare-earth high-entropy zirconates with superior thermal and mechanical properties ,2021,,,,
Y2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7,,,0.666,1.524,,10.338,,1.2,3.35 and 0.85,5.78,,,,,P,,,,,191.7,,,,1.79,,,,,,,https://doi-org.utk.idm.oclc.org/10.1111/jace.18588  ,High-entropy yttrium pyrochlore ceramics with glass-like thermal conductivity for thermal barrier coating application ,2021,,,,
Y2(Ti0.25Zr0.25Hf0.25Ta0.25)2O7,,,0.669,1.518,,10.333,,1,4.69 ± 1.60,6.45,,,,,P,,,,,228.5,,,,1.8,,,,,,,https://doi-org.utk.idm.oclc.org/10.1111/jace.18588  ,High-entropy yttrium pyrochlore ceramics with glass-like thermal conductivity for thermal barrier coating application ,2021,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7,,,,,,,,,,,,,,,P,,,,,,,,10.84*,1.20*,,0.459*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.118029  ,Tailored composite high-entropy ceramics with superior thermal radiation shielding and heat insulation performance ,2025,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7 + 5 mol.% (La0.2Gd0.2Y0.2Yb0.2Er0.2)MnO3,,,,,,,,,4.3*,6.217,,,,,Mix,,,,,,,,11.69*,1.31*,0.406*,0.502*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.118029  ,Tailored composite high-entropy ceramics with superior thermal radiation shielding and heat insulation performance ,2025,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7 + 10 mol.% (La0.2Gd0.2Y0.2Yb0.2Er0.2)MnO3,,,,,,,,,7.2*,6.174,,,,,Mix,,,,,,,,12.24*,1.33*,0.407*,0.515*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.118029  ,Tailored composite high-entropy ceramics with superior thermal radiation shielding and heat insulation performance ,2025,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7 + 15 mol.% (La0.2Gd0.2Y0.2Yb0.2Er0.2)MnO3,,,,,,,,,12.0*,6.11,,,,,Mix,,,,,,,,11.95*,1.30*,0.408*,0.507*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.118029  ,Tailored composite high-entropy ceramics with superior thermal radiation shielding and heat insulation performance ,2025,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7 + 20 mol.% (La0.2Gd0.2Y0.2Yb0.2Er0.2)MnO3,,,,,,,,,11.0*,6.086,,,,,Mix,,,,,,,,12.28*,1.29*,0.408*,0.505*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.118029  ,Tailored composite high-entropy ceramics with superior thermal radiation shielding and heat insulation performance ,2025,,,,
(Y0.2Gd0.2Er0.2Yb0.2Lu0.2)2Zr2O7,,,,,,,,,,,7.04,97,,,P,,,,12.1 ± 0.2,,1.1 ± 0.1,0.0000102,,,,,,,,,10.1016/j.jmst.2021.07.053 ,Calcium-magnesium-alumina-silicate (CMAS) resistant high entropy ceramic (Y0.2Gd0.2Er0.2Yb0.2Lu0.2)2Zr2O7 for thermal barrier coatings ,2021,,,,
MgO-(La1/3Nd1/3Sm1/3)2Zr2O7,,1.116,,1.55,,10.6708,,,,4.39*,,95.85*,,,Mix,,,,,,,0.0000134*,,15.8*,0.730*,4.58*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.01.306  ,New design and preparation of novel ‘MgO-medium/high entropy (REE1/n)2Zr2O7’ composite ceramics for inert matrix fuel ,2025,,,,
MgO-(La1/4Nd1/4Sm1/4Y1/4)2Zr2O7,,1.092,,1.5163,,10.62506,,,,4.44*,,96.18*,,,Mix,,,,,,,0.0000138*,,15.7*,0.731*,4.67*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.01.306  ,New design and preparation of novel ‘MgO-medium/high entropy (REE1/n)2Zr2O7’ composite ceramics for inert matrix fuel ,2025,,,,
MgO-(La1/5Nd1/5Sm1/5Y1/5Er1/5)2Zr2O7,,1.074,,1.4919,,10.59848,,,,4.53*,,98.84*,,,Mix,,,,,,,0.0000138*,,14.8*,0.728*,4.45*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.01.306  ,New design and preparation of novel ‘MgO-medium/high entropy (REE1/n)2Zr2O7’ composite ceramics for inert matrix fuel ,2025,,,,
(La0.2Sm0.2Gd0.2Y0.2Yb0.2)3Nb0.5Ta0.5O7,,,,,,10.636,,,3,,,94.2,,,P,,,,8.68,391,1.82,0.00000691*,10.72,0.85,0.356*,0.32*,,,,,https://doi.org/10.1007/s11665-025-13136-8  ,(La0.2Sm0.2Gd0.2Y0.2Yb0.2)3Nb0.5Ta0.5O7: Novel High-Entropy Oxide for Thermal Barrier Coatings ,2026,,,,
(La0.2Dy0.2Nd0.2Sm0.2Eu0.2)2GdTaO7,,,,,,10.636,6.84,,,,,91.96,,,P,,,,8.77,211,2.49,0.000002,10.6*,1.41,0.324*,0.4,,,,,https://doi.org/10.1016/j.jmrt.2023.06.256  ,(La0.2Dy0.2Nd0.2Sm0.2Eu0.2)2GdTaO7: a promising candidate oxides for high-temperature coating applications ,2023,,,,
(La0.2Gd0.2Y0.2Sm0.2Ce0.2)2Zr2O7,,,,1.467,,,6.01,5.04,,6.41,6.75,,3.1,2.51,P,,,,6.61,,1.27,0.0000144*,11.1,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.11.044  ,A new TBC material: (La0.2Gd0.2Y0.2Sm0.2Ce0.2)2Zr2O7 high-entropy oxide ,2023,,,,
(La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7,,,,1.493,,10.511,,4.0 ± 1.2,9.12 ± 0.50,6.07,6.32,,,,P,,,,8.88 ± 0.15,197,1.68 ± 0.09,,9,1.56,221*,0.62,,,,,10.1016/j.jmst.2024.02.089 ,High entropy pyrochlore (La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7 ceramic with amorphous-like thermal conductivity for environmental/thermal barrier coating applications ,2024,,,,
La2Zr2O7,,,,,,10.816,,5.1 ± 0.8,7.42 ± 0.62,,6.01,,,,SP,,,,9.60 ± 0.16,204,1.20 ± 0.05,,8.6,2.15*,220*,0.85,,,,,10.1016/j.jmst.2024.02.089 ,High entropy pyrochlore (La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7 ceramic with amorphous-like thermal conductivity for environmental/thermal barrier coating applications ,2024,,,,
Gd2Ti2O7,,,,,,10.185,,4.6 ± 0.5,8.35 ± 0.73,,6.57,,,,SP,,,,9.13 ± 0.24,215,1.43 ± 0.12,,10.3,2.26*,217*,0.81,,,,,10.1016/j.jmst.2024.02.089 ,High entropy pyrochlore (La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7 ceramic with amorphous-like thermal conductivity for environmental/thermal barrier coating applications ,2024,,,,
Ca2Nb2O7,,,,,,"a = 7.731, b = 5.511, c = 13.512; β = 98.32°",,3.5 ± 1.6,6.87 ± 0.47,,4.39,,,,P21,,,,6.10 ± 0.15,153,1.35 ± 0.08,,10.7,2.46*,218*,0.97,,,,,10.1016/j.jmst.2024.02.089 ,High entropy pyrochlore (La0.3Gd0.3Ca0.4)2(Ti0.2Zr0.2Hf0.2Nb0.2Ta0.2)2O7 ceramic with amorphous-like thermal conductivity for environmental/thermal barrier coating applications ,2024,,,,
(La0.2Nd0.2Y0.2Yb0.2Lu0.2)2Zr2O7,,,,1.4583,,,6.88,,1.65,6.08,7.1,85.54,,,F+P,,,,10.03 ± 0.32,,1.04 ± 0.17,,,1.23*,,0.53*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.117361,High-entropy (La0.2Nd0.2Y0.2Yb0.2Lu0.2)2Zr2O7 ceramic: A novel dual-phase high-entropy ceramic ,2025,,,,
La2Zr2O7,,,,1.6111,,,0,,4.66,5.52,,91.44,,,P,,,,6.34 ± 0.41,,0.59 ± 0.06,,,1.70*,,0.80*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2025.117362,High-entropy (La0.2Nd0.2Y0.2Yb0.2Lu0.2)2Zr2O7 ceramic: A novel dual-phase high-entropy ceramic ,2025,,,,
(La0.2Ce0.2Pr0.2Sm0.2Eu0.2)2Hf2O7,,,,1.57,,10.65,,14.2,,5.73,8.34,,,,P,,,,,,,0.0000064,13.4,1.24*,,0.56*,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
La2Hf2O7,,,,1.634,,10.78,,,,,7.92,,,,SP,,,,,,,,9.2,,,,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
Ce2Hf2O7,,,,1.61,,10.72,,,,,8.07,,,,SP,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
Pr2Hf2O7,,,,1.586,,10.67,,,,,8.22,,,,SP,,,,,,,,11,,,,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
Sm2Hf2O7,,,,1.52,,10.57,,,,,8.65,,,,SP,,,,,,,,15.97,,,,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
Eu2Hf2O7,,,,1.501,,10.54,,,,,8.78,,,,SP,,,,,,,,10,,,,,,,,10.1016/j.jmst.2021.02.005 ,Thermophysical properties of a novel high entropy hafnate ceramic ,2021,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
